name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
Iota Draconis b,102,11.82 Jupiters,3.29668,2002
Iota Draconis c,102,15.6 Jupiters,3.29668,2022
K2-100 b,616,21.8 Earths,10.651,2016
K2-101 b,614,4.66 Earths,12.892,2016
HIP 91258 b,150,1.09 Jupiters,8.65,2013
HIP 94235 b,191,1.19247 Jupiters,8.31,2022
HIP 948 b,114,20.17031 Jupiters,9.92,2022
HIP 97166 b,215,20 Earths,9.92,2021
HIP 97166 c,215,9.9 Earths,9.92,2021
HIP 97233 b,334,20.13421 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.97707,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.33432,2019
HR 810 b,56,2.27 Jupiters,5.4,1999
HR 858 b,104,5 Earths,6.38,2019
HR 858 c,104,4.42 Earths,6.38,2019
HR 858 d,104,5.32 Earths,6.38,2019
HR 8799 b,135,7 Jupiters,5.98,2008
HR 8799 c,135,10 Jupiters,5.98,2008
HR 8799 d,135,10 Jupiters,5.98,2008
HR 8799 e,135,10 Jupiters,5.98,2010
HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
HU Aquarii AB c,627,4.5 Jupiters,16.183,2011
HW Virginis b,560,14.48228 Jupiters,10.5,2012
IC 4651 9122 b,2803,6.3 Jupiters,10.909,2018
Iota Draconis b,102,11.82 Jupiters,3.29668,2002
Iota Draconis c,102,15.6 Jupiters,3.29668,2022
K2-100 b,616,21.8 Earths,10.651,2016
K2-101 b,614,4.66 Earths,12.892,2016
HIP 91258 b,150,1.09 Jupiters,8.65,2013
HIP 94235 b,191,1.19247 Jupiters,8.31,2022
HIP 948 b,114,20.17031 Jupiters,9.92,2022
HIP 97166 b,215,20 Earths,9.92,2021
HIP 97166 c,215,9.9 Earths,9.92,2021
HIP 97233 b,334,20.13421 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.97707,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.33432,2019
HR 810 b,56,2.27 Jupiters,5.4,1999
HR 858 b,104,5 Earths,6.38,2019
HR 858 c,104,4.42 Earths,6.38,2019
HR 858 d,104,5.32 Earths,6.38,2019
HR 8799 b,135,7 Jupiters,5.98,2008
HR 8799 c,135,10 Jupiters,5.98,2008
HR 8799 d,135,10 Jupiters,5.98,2008
HR 8799 e,135,10 Jupiters,5.98,2010
HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
HU Aquarii AB c,627,4.5 Jupiters,16.183,2011
HW Virginis b,560,14.48228 Jupiters,10.5,2012
IC 4651 9122 b,2803,6.3 Jupiters,10.909,2018
Iota Draconis b,102,11.82 Jupiters,3.29668,2002
Iota Draconis c,102,15.6 Jupiters,3.29668,2022
K2-100 b,616,21.8 Earths,10.651,2016
K2-101 b,614,4.66 Earths,12.892,2016
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-161 b,2989,31.1 Earths,12.718,2018
K2-162 b,406,2.67 Earths,12.278,2018
K2-163 b,680,6.65 Earths,13.078,2018
K2-164 b,1225,10.6 Earths,11.352,2018
K2-165 b,439,2.17 Earths,11.332,2018
K2-165 c,439,3.03 Earths,11.332,2018
K2-165 d,439,7.5 Earths,11.332,2018
K2-166 b,1556,5.43 Earths,12.081,2018
K2-167 b,264,5.75 Earths,8.24,2018
K2-168 b,796,4.12 Earths,12.365,2018
K2-169 b,769,2.16 Earths,12.23,2018
K2-16 b,1093,4.74 Earths,14.668,2015
K2-16 c,1093,6.99 Earths,14.668,2015
K2-170 b,1282,2.6 Earths,12.668,2018
K2-170 c,1282,3.9 Earths,12.668,2018
K2-171 b,1977,7.69 Earths,12.745,2018
K2-172 b,815,3.42 Earths,12.5,2018
K2-172 c,815,10.4 Earths,12.5,2018
K2-173 b,746,3.22 Earths,12.523,2018
K2-174 b,326,7.27 Earths,12.456,2018
K2-175 b,807,4.81 Earths,10.836,2018
K2-176 b,807,2.83 Earths,12.909,2018
K2-177 b,1605,5.13 Earths,12.681,2018
K2-178 b,701,12.4 Earths,12.382,2018
K2-179 b,622,6.86 Earths,12.939,2018
K2-161 b,2989,31.1 Earths,12.718,2018
K2-162 b,406,2.67 Earths,12.278,2018
K2-163 b,680,6.65 Earths,13.078,2018
K2-164 b,1225,10.6 Earths,11.352,2018
K2-165 b,439,2.17 Earths,11.332,2018
K2-165 c,439,3.03 Earths,11.332,2018
K2-165 d,439,7.5 Earths,11.332,2018
K2-166 b,1556,5.43 Earths,12.081,2018
K2-167 b,264,5.75 Earths,8.24,2018
K2-168 b,796,4.12 Earths,12.365,2018
K2-169 b,769,2.16 Earths,12.23,2018
K2-16 b,1093,4.74 Earths,14.668,2015
K2-16 c,1093,6.99 Earths,14.668,2015
K2-170 b,1282,2.6 Earths,12.668,2018
K2-170 c,1282,3.9 Earths,12.668,2018
K2-171 b,1977,7.69 Earths,12.745,2018
K2-172 b,815,3.42 Earths,12.5,2018
K2-172 c,815,10.4 Earths,12.5,2018
K2-173 b,746,3.22 Earths,12.523,2018
K2-174 b,326,7.27 Earths,12.456,2018
K2-175 b,807,4.81 Earths,10.836,2018
K2-176 b,807,2.83 Earths,12.909,2018
K2-177 b,1605,5.13 Earths,12.681,2018
K2-178 b,701,12.4 Earths,12.382,2018
K2-179 b,622,6.86 Earths,12.939,2018
K2-17 b,408,5.6 Earths,13.411,2015
K2-180 b,665,11.44182 Earths,12.557,2018
K2-181 b,1177,8.45 Earths,12.669,2018
K2-182 b,505,20 Earths,11.833,2018
K2-183 b,1073,1.37 Earths,12.867,2018
K2-183 c,1073,5.9 Earths,12.867,2018
K2-183 d,1073,5.9 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,1.87 Earths,13.102,2018
K2-187 c,1079,2.54 Earths,13.102,2018
K2-187 d,1079,6.35 Earths,13.102,2018
K2-187 e,1079,4.27 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-17 b,408,5.6 Earths,13.411,2015
K2-180 b,665,11.44182 Earths,12.557,2018
K2-181 b,1177,8.45 Earths,12.669,2018
K2-182 b,505,20 Earths,11.833,2018
K2-183 b,1073,1.37 Earths,12.867,2018
K2-183 c,1073,5.9 Earths,12.867,2018
K2-183 d,1073,5.9 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,1.87 Earths,13.102,2018
K2-187 c,1079,2.54 Earths,13.102,2018
K2-187 d,1079,6.35 Earths,13.102,2018
K2-187 e,1079,4.27 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-17 b,408,5.6 Earths,13.411,2015
K2-180 b,665,11.44182 Earths,12.557,2018
K2-181 b,1177,8.45 Earths,12.669,2018
K2-182 b,505,20 Earths,11.833,2018
K2-183 b,1073,1.37 Earths,12.867,2018
K2-183 c,1073,5.9 Earths,12.867,2018
K2-183 d,1073,5.9 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,1.87 Earths,13.102,2018
K2-187 c,1079,2.54 Earths,13.102,2018
K2-187 d,1079,6.35 Earths,13.102,2018
K2-187 e,1079,4.27 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-17 b,408,5.6 Earths,13.411,2015
K2-180 b,665,11.44182 Earths,12.557,2018
K2-181 b,1177,8.45 Earths,12.669,2018
K2-182 b,505,20 Earths,11.833,2018
K2-183 b,1073,1.37 Earths,12.867,2018
K2-183 c,1073,5.9 Earths,12.867,2018
K2-183 d,1073,5.9 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,1.87 Earths,13.102,2018
K2-187 c,1079,2.54 Earths,13.102,2018
K2-187 d,1079,6.35 Earths,13.102,2018
K2-187 e,1079,4.27 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-206 b,797,8.22 Earths,13.084,2018
K2-207 b,1184,7.3 Earths,13.175,2018
K2-208 b,838,3.46 Earths,12.577,2018
K2-209 b,250,0.586 Earths,11.061,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-206 b,797,8.22 Earths,13.084,2018
K2-207 b,1184,7.3 Earths,13.175,2018
K2-208 b,838,3.46 Earths,12.577,2018
K2-209 b,250,0.586 Earths,11.061,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-203 b,542,2.45 Earths,12.391,2018
K2-204 b,1883,9.51 Earths,12.985,2018
K2-205 b,1322,4.64 Earths,12.45,2018
K2-206 b,797,8.22 Earths,13.084,2018
K2-207 b,1184,7.3 Earths,13.175,2018
K2-208 b,838,3.46 Earths,12.577,2018
K2-209 b,250,0.586 Earths,11.061,2018
K2-210 b,576,0.566 Earths,11.535,2018
K2-211 b,888,2.24 Earths,13.1547,2018
K2-212 b,356,7.51 Earths,12.977,2018
K2-213 b,1271,2.9 Earths,11.803,2018
K2-214 b,981,6.48 Earths,11.806,2018
K2-215 b,1318,5.16 Earths,12.99,2018
K2-216 b,377,8 Earths,12.403,2018
K2-217 b,1246,12.5 Earths,12.264,2018
K2-218 b,1285,7.13 Earths,12.92,2018
K2-219 b,1061,2.38 Earths,12.09,2018
K2-219 c,1061,2.66 Earths,12.09,2018
K2-219 d,1061,7.16 Earths,12.09,2018
K2-21 b,273,4.04 Earths,12.851,2015
K2-21 c,273,6.76 Earths,12.851,2015
K2-220 b,762,6.3 Earths,11.873,2018
K2-221 b,1040,3.46 Earths,12.571,2018
K2-222 b,331,6.3 Earths,9.543,2018
K2-223 b,648,0.64 Earths,11.443,2018
K2-223 c,648,2.86 Earths,11.443,2018
K2-224 b,898,3.05 Earths,12.7,2018
K2-224 c,898,6.39 Earths,12.7,2018
K2-225 b,1167,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.337,2018
K2-227 b,611,3.41 Earths,12.015,2018
K2-228 b,422,1.92 Earths,13.028,2018
K2-229 b,335,2.49 Earths,10.985,2018
K2-229 c,335,21.3 Earths,10.985,2018
K2-22 b,795,1.4 Jupiters,15.565,2015
K2-230 b,1764,4.5 Earths,12.789,2018
K2-231 b,1048,6.8 Earths,12.768,2018
K2-232 b,426,0.398 Jupiters,9.822,2018
K2-233 b,220,11.26 Earths,10.883,2018
K2-233 c,220,12.81 Earths,10.883,2018
K2-233 d,220,21.14 Earths,10.883,2018
K2-237 b,1028,1.363 Jupiters,11.602,2018
K2-238 b,1755,0.86 Jupiters,13.973,2018
K2-239 b,101,1.37 Earths,14.632,2018
K2-239 c,101,0.972 Earths,14.632,2018
K2-239 d,101,1.37 Earths,14.632,2018
K2-240 b,238,4.66 Earths,13.372,2018
K2-240 c,238,3.89 Earths,13.372,2018
K2-241 b,488,7.04 Earths,11.97,2018
K2-242 b,356,6.99 Earths,16.414,2018
K2-243 b,871,5.35 Earths,10.971,2018
K2-243 c,871,4.7 Earths,10.971,2018
K2-244 b,694,3.71 Earths,11.78,2018
K2-245 b,1488,17.4 Earths,12.755,2018
K2-246 b,2295,12 Earths,14.792,2018
K2-247 b,842,5.14 Earths,14.857,2018
K2-247 c,842,5.43 Earths,14.857,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-258 b,2159,9.27 Earths,13.361,2018
K2-259 b,1358,5.99 Earths,12.511,2018
K2-25 b,147,24.5 Earths,16.21,2015
K2-260 b,2165,1.42 Jupiters,12.624,2018
K2-261 b,696,0.188 Jupiters,10.612,2018
K2-263 b,530,14.8 Earths,11.568,2018
K2-264 b,605,5.61 Earths,16.701,2018
K2-264 c,605,7.6 Earths,16.701,2018
K2-265 b,452,6.54 Earths,11.187,2018
K2-266 b,253,11.26782 Earths,11.625,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-258 b,2159,9.27 Earths,13.361,2018
K2-259 b,1358,5.99 Earths,12.511,2018
K2-25 b,147,24.5 Earths,16.21,2015
K2-260 b,2165,1.42 Jupiters,12.624,2018
K2-261 b,696,0.188 Jupiters,10.612,2018
K2-263 b,530,14.8 Earths,11.568,2018
K2-264 b,605,5.61 Earths,16.701,2018
K2-264 c,605,7.6 Earths,16.701,2018
K2-265 b,452,6.54 Earths,11.187,2018
K2-266 b,253,11.26782 Earths,11.625,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-258 b,2159,9.27 Earths,13.361,2018
K2-259 b,1358,5.99 Earths,12.511,2018
K2-25 b,147,24.5 Earths,16.21,2015
K2-260 b,2165,1.42 Jupiters,12.624,2018
K2-261 b,696,0.188 Jupiters,10.612,2018
K2-263 b,530,14.8 Earths,11.568,2018
K2-264 b,605,5.61 Earths,16.701,2018
K2-264 c,605,7.6 Earths,16.701,2018
K2-265 b,452,6.54 Earths,11.187,2018
K2-266 b,253,11.26782 Earths,11.625,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-248 b,1325,7.13 Earths,13.497,2018
K2-249 b,1702,8.2 Earths,12.646,2018
K2-24 b,556,19 Earths,11.275,2016
K2-24 c,556,15.4 Earths,11.275,2016
K2-250 b,1353,6.53 Earths,14.314,2018
K2-251 b,480,6.12 Earths,15.66,2018
K2-252 b,746,3.68 Earths,12.93,2018
K2-253 b,2859,Unknown,15.002,2018
K2-254 b,743,3.29 Earths,14.238,2018
K2-254 c,743,5.43 Earths,14.238,2018
K2-255 b,625,8.75 Earths,13.662,2018
K2-256 b,1842,7.41 Earths,14.954,2018
K2-257 b,209,0.498 Earths,13.716,2018
K2-258 b,2159,9.27 Earths,13.361,2018
K2-259 b,1358,5.99 Earths,12.511,2018
K2-25 b,147,24.5 Earths,16.21,2015
K2-260 b,2165,1.42 Jupiters,12.624,2018
K2-261 b,696,0.188 Jupiters,10.612,2018
K2-263 b,530,14.8 Earths,11.568,2018
K2-264 b,605,5.61 Earths,16.701,2018
K2-264 c,605,7.6 Earths,16.701,2018
K2-265 b,452,6.54 Earths,11.187,2018
K2-266 b,253,11.26782 Earths,11.625,2018
K2-266 c,253,0.29013 Earths,11.625,2018
K2-266 d,253,8.9 Earths,11.625,2018
K2-266 e,253,14.3 Earths,11.625,2018
K2-268 b,1069,2.86 Earths,13.848,2018
K2-268 c,1069,7.7 Earths,13.848,2018
K2-268 d,1069,2.83 Earths,13.848,2019
K2-268 e,1069,2.33 Earths,13.848,2019
K2-268 f,1069,5.6 Earths,13.848,2019
K2-269 b,1177,3.09 Earths,11.784,2018
K2-26 b,323,7.61 Earths,14.528,2016
K2-270 b,915,2.48 Earths,13.847,2018
K2-270 c,915,9.01 Earths,13.847,2018
K2-271 b,1841,0.131 Jupiters,13.845,2018
K2-272 b,1380,9.96 Earths,13.872,2018
K2-273 b,1005,9.53 Earths,13.246,2018
K2-274 b,745,4.98 Earths,13.181,2018
K2-275 b,403,6.08 Earths,11.974,2018
K2-275 c,403,5.52 Earths,11.974,2018
K2-276 b,1592,13.7 Earths,14.654,2018
K2-277 b,369,4.94 Earths,10.364,2018
K2-278 b,2565,9.17 Earths,13.446,2018
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,6.8 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-266 e,253,14.3 Earths,11.625,2018
K2-268 b,1069,2.86 Earths,13.848,2018
K2-268 c,1069,7.7 Earths,13.848,2018
K2-268 d,1069,2.83 Earths,13.848,2019
K2-268 e,1069,2.33 Earths,13.848,2019
K2-268 f,1069,5.6 Earths,13.848,2019
K2-269 b,1177,3.09 Earths,11.784,2018
K2-26 b,323,7.61 Earths,14.528,2016
K2-270 b,915,2.48 Earths,13.847,2018
K2-270 c,915,9.01 Earths,13.847,2018
K2-271 b,1841,0.131 Jupiters,13.845,2018
K2-272 b,1380,9.96 Earths,13.872,2018
K2-273 b,1005,9.53 Earths,13.246,2018
K2-274 b,745,4.98 Earths,13.181,2018
